epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.895,1.64086,2.35403,1.22835,0.75285,0.72662,0.78495,0.48703,1.40079,1.23947,1.11426,0.000205793,0.000205793,0.000205793
2,224.653,1.35403,1.06313,1.07749,0.90514,0.82671,0.90297,0.59369,1.28419,0.8692,1.06543,0.000412076,0.000412076,0.000412076
3,362.578,1.29547,0.88173,1.05847,0.88556,0.83973,0.90495,0.60143,1.29138,0.83189,1.08187,0.000616297,0.000616297,0.000616297
4,485.856,1.2518,0.80212,1.0439,0.94351,0.87842,0.94331,0.64146,1.21664,0.68755,1.04918,0.000615719,0.000615719,0.000615719
5,616.503,1.2072,0.74153,1.0234,0.94235,0.86941,0.94309,0.64131,1.23245,0.69944,1.05031,0.000612625,0.000612625,0.000612625
6,755.745,1.17339,0.68976,1.01346,0.93617,0.88269,0.94569,0.64877,1.19289,0.64616,1.03905,0.000609531,0.000609531,0.000609531
7,867.587,1.14414,0.65403,1.00221,0.94122,0.89146,0.95219,0.66174,1.17163,0.63134,1.02248,0.000606437,0.000606437,0.000606437
8,1038.11,1.12764,0.63549,0.99988,0.9658,0.92137,0.96706,0.68097,1.16446,0.5667,1.02205,0.000603344,0.000603344,0.000603344
9,1141.7,1.10685,0.61037,0.99269,0.95452,0.92621,0.96734,0.67512,1.1607,0.57218,1.02661,0.00060025,0.00060025,0.00060025
10,1278.69,1.09005,0.5993,0.983,0.94376,0.92371,0.96141,0.66234,1.17272,0.56769,1.02574,0.000597156,0.000597156,0.000597156
11,1396.89,1.09361,0.58815,0.98746,0.94587,0.92588,0.9615,0.67225,1.17292,0.57482,1.02391,0.000594062,0.000594062,0.000594062
12,1574.92,1.08162,0.58574,0.98109,0.95617,0.93132,0.96644,0.68492,1.14793,0.5644,1.01685,0.000590969,0.000590969,0.000590969
